,GDP_trend,debt,bank_rate,inflation
259,0.479620586337,30.7290528889,5.0,0.64043915828
260,1.3858138589,44.9505212791,5.0,2.54545454545
261,6.57773108311,68.88921734,5.0,12.5
262,8.02400012754,109.91148756,6.0,18.1
263,8.81450178769,133.92059265,5.0,25.2
264,11.5060936692,145.868682734,5.0,22.0
265,2.00435080002,148.946212934,6.0,10.1
266,-5.05605400463,133.164340435,7.0,15.4
267,-14.8637105434,162.366541059,5.0,-8.6
268,-8.27980937396,180.886578099,3.0,-14.0
269,-5.12930411326,188.193454125,4.0,-6.0
270,-0.682314233792,182.00414073,4.0,-0.7
271,2.22092403137,175.468455143,5.0,0.3
272,-2.07576404553,182.047030255,5.0,-0.8
273,4.54789403144,171.884644428,4.5,-2.4
274,3.9841338965,171.592033635,4.5,-0.3
275,5.37501764939,167.733392191,5.0,-0.9
276,2.79905059556,170.15754163,3.0,-2.8
277,-4.19898120161,183.019349633,6.0,-4.3
278,-5.9777513824,191.376681776,2.0,-2.6
279,-5.32066764416,192.365928007,2.0,-2.1
280,-2.24768305002,181.822063899,2.0,0.0
281,-1.88830207688,173.29641141,2.0,0.7
282,-0.563927426097,164.13272098,2.0,0.7
283,-0.753834338058,156.97556339,2.0,3.4
284,-3.70870591212,155.468762819,2.0,1.6
285,-2.68705162335,155.449259819,2.0,2.8
286,4.7405804048,157.582247632,2.0,16.8
287,10.7389985704,162.170680844,2.0,10.8
288,10.4653561248,178.0628456,2.0,7.1
289,10.5286781005,195.475693463,2.0,3.4
290,4.3426772084,222.088349913,2.0,2.7
291,-2.01771098502,245.16083462,2.0,2.8
292,-5.81969626606,262.422738648,2.0,3.1
293,-8.09923138887,247.649278282,2.0,7.0
294,-5.74523900386,219.687634919,2.0,7.7
295,-3.86661466535,208.683464312,2.0,2.8
296,-2.4950929823,200.589396285,2.0,3.91849529781
297,-1.19048868266,178.51288944,2.5,9.04977375566
298,-1.74411136289,165.05488927,4.0,10.6500691563
299,1.00549834517,156.48109803,3.5,3.625
300,2.15101796954,150.542533505,3.0,2.29191797346
301,2.85007771652,139.327161131,4.5,5.07075471698
302,1.72230341193,128.61367091,5.5,5.16273849607
303,0.526387383489,121.829503203,7.0,3.84204909285
304,-1.66705547227,116.578543408,4.0,2.87769784173
305,-1.20882594962,112.386673172,4.0,0.599400599401
306,1.92792081305,106.47527639,5.0,0.794438927507
307,1.59385837581,101.779543268,6.0,3.25123152709
308,-0.281351266278,100.614489004,4.5,4.19847328244
309,-1.602806467,96.485638349,4.0,2.10622710623
310,0.838764239449,89.0416678876,7.0,3.22869955157
311,0.354373307756,84.311494066,6.0,4.25716768028
312,-1.2637285588,80.7263526368,7.0,4.0
313,-2.13942792562,80.6221242331,8.0,2.24358974359
314,0.454846678995,74.3009015696,7.0,3.99686520376
315,-0.402943002202,67.0368543939,8.0,5.1996985682
